Región,Provincia,Comuna,Seleccionados,Pagados,Código Único Territorial,Programa,Capa
La Araucanía,Cautín,Cholchol,37,15,9121,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Malleco,Angol,273,157,9201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Malleco,Collipulli,79,32,9202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Malleco,Curacautín,50,26,9203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Malleco,Ercilla,10,6,9204,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Malleco,Lonquimay,25,15,9205,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Malleco,Los Sauces,24,17,9206,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Malleco,Lumaco,17,5,9207,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Malleco,Purén,59,36,9208,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Malleco,Renaico,26,12,9209,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Malleco,Traiguén,64,28,9210,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Malleco,Victoria,105,60,9211,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Llanquihue,Puerto Montt,1087,415,10101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Llanquihue,Calbuco,71,23,10102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Llanquihue,Cochamó,9,1,10103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Llanquihue,Fresia,18,10,10104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Llanquihue,Frutillar,46,12,10105,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Llanquihue,Los Muermos,44,18,10106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Llanquihue,Llanquihue,47,12,10107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Llanquihue,Maullín,30,11,10108,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Llanquihue,Puerto Varas,63,16,10109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Chiloé,Castro,364,185,10201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Chiloé,Ancud,239,136,10202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Chiloé,Chonchi,72,21,10203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Chiloé,Curaco de Vélez,5,2,10204,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Chiloé,Dalcahue,120,41,10205,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Chiloé,Puqueldón,6,2,10206,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Chiloé,Queilén,16,8,10207,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Chiloé,Quellón,106,40,10208,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Chiloé,Quemchi,45,26,10209,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Chiloé,Quinchao,22,12,10210,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Osorno,Osorno,599,209,10301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Osorno,Puerto Octay,29,9,10302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Osorno,Purranque,48,16,10303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Osorno,Puyehue,24,6,10304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Osorno,Río Negro,43,18,10305,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Osorno,San Juan de la Costa,6,3,10306,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Osorno,San Pablo,27,12,10307,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Palena,Chaitén,3,1,10401,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Palena,Futaleufú,6,4,10402,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Palena,Hualaihué,24,7,10403,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Los Lagos,Palena,Palena,4,1,10404,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Aysén del General Carlos Ibáñez del Campo,Coihaique,Coihaique,236,82,11101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Aysén del General Carlos Ibáñez del Campo,Coihaique,Lago Verde,3,3,11102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Aysén del General Carlos Ibáñez del Campo,Aisén,Aisén,135,54,11201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Aysén del General Carlos Ibáñez del Campo,Aisén,Cisnes,25,9,11202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Aysén del General Carlos Ibáñez del Campo,Aisén,Guaitecas,1,1,11203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Aysén del General Carlos Ibáñez del Campo,Capitán Prat,Cochrane,8,1,11301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Aysén del General Carlos Ibáñez del Campo,Capitán Prat,O'Higgins,1,0,11302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Aysén del General Carlos Ibáñez del Campo,Capitán Prat,Tortel,0,0,11303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Aysén del General Carlos Ibáñez del Campo,General Carrera,Chile Chico,21,12,11401,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Aysén del General Carlos Ibáñez del Campo,General Carrera,Río Ibáñez,4,1,11402,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,202,46,12101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Magallanes y de la Antártica Chilena,Magallanes,Laguna Blanca,0,0,12102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Magallanes y de la Antártica Chilena,Magallanes,San Gregorio,0,0,12104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Magallanes y de la Antártica Chilena,Antártica Chilena,Cabo de Hornos,1,1,12201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Magallanes y de la Antártica Chilena,Tierra del Fuego,Porvenir,11,1,12301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Magallanes y de la Antártica Chilena,Tierra del Fuego,Primavera,0,0,12302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Magallanes y de la Antártica Chilena,Tierra del Fuego,Timaukel,0,0,12303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Magallanes y de la Antártica Chilena,Última Esperanza,Natales,64,13,12401,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Magallanes y de la Antártica Chilena,Última Esperanza,Torres del Paine,1,0,12402,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
