OBJECTID,REG,PROV,COM,Seleccionados,Pagados,CUT,Programa,Capa,Shape_Length,Shape_Area
123,07,073,07304,78,40,07304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.47039237750195,0.150418579446012
124,07,073,07305,14,9,07305,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.3995278868513,0.0302364644947663
125,07,073,07306,40,22,07306,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.67332288661077,0.158389833171973
126,07,073,07307,26,12,07307,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.35681186676085,0.0548308383654924
127,07,073,07308,56,34,07308,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.74073657715781,0.0610156773757565
128,07,073,07309,4,3,07309,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.16365012670749,0.0444999935954204
129,07,074,07401,528,302,07401,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.92809740187807,0.146477148321103
130,07,074,07402,30,9,07402,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,4.43086476210312,0.292842518190096
131,07,074,07403,35,16,07403,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.69254859233345,0.145415397967693
132,07,074,07404,109,65,07404,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.50490611529684,0.164246228788196
133,07,074,07405,15,10,07405,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.99033308847203,0.0826408931176284
134,07,074,07406,52,31,07406,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.22906197520494,0.130476589160542
135,07,074,07407,19,13,07407,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.745557823376734,0.018773423026525
136,07,074,07408,31,17,07408,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.898028910533771,0.0257795581934833
137,08,081,08102,51,27,08102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.45670127928582,0.0284791495840232
138,08,081,08104,25,13,08104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.42343315561966,0.061181352513873
139,08,081,08106,23,15,08106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.642775616109528,0.011629834397124
140,08,081,08109,68,36,08109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.71979107890472,0.0789832964211595
141,08,081,08110,13,3,08110,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.03743641468872,0.00933580056581756
142,08,082,08201,14,8,08201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.3222037753105,0.0576629941839642
143,08,082,08202,9,7,08202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.51469930721971,0.0975379477126586
144,08,082,08203,10,5,08203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.31276722897473,0.111498887483612
145,08,082,08204,13,6,08204,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.00381576013386,0.0655981702065002
146,08,082,08205,161,96,08205,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.09334605238005,0.102173767322598
147,08,082,08206,48,25,08206,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.90251891803976,0.0613322244071219
148,08,082,08207,13,9,08207,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.62771141840735,0.0645445095099929
149,08,083,08301,11,5,08301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.64627861582588,0.177895607633221
150,08,083,08302,27,17,08302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.22922867397157,0.198944065972888
151,08,083,08303,730,293,08303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.45748297395966,0.0665297028251685
152,08,083,08304,305,153,08304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.809065401311697,0.035073396807069
153,08,083,08305,359,156,08305,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.09933553440891,0.196584862688593
154,08,083,08306,25,8,08306,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.97575394677194,0.0921369404276616
155,08,083,08307,90,41,08307,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.766265229741274,0.0158447416841949
156,08,083,08308,135,51,08308,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.85603361562108,0.115230066041352
157,08,083,08309,192,73,08309,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.46771501637971,0.113803052941383
158,08,083,08310,356,181,08310,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.594192620379706,0.00958623892375309
159,08,083,08311,27,15,08311,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.36027372524919,0.127667931880302
160,08,083,08312,693,253,08312,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.78327425442387,0.0927635108089971
161,08,083,08313,174,85,08313,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.781520304694,0.0736674017818607
162,08,083,08314,541,262,08314,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.62891284870108,0.217498286163911
163,09,091,09101,1423,724,09101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.19048636333316,0.0483181688779863
164,09,091,09102,82,41,09102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.59532251061081,0.13829553420477
165,09,091,09103,40,24,09103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.90325359494415,0.196348193674562
166,09,091,09104,26,12,09104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.54071578589267,0.121891627672095
167,09,091,09105,56,25,09105,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.98260107499327,0.0903839709052058
168,09,091,09106,20,8,09106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.44284145677133,0.0585945464466759
169,09,091,09107,67,27,09107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.71739789641224,0.0719513923277294
170,09,091,09108,140,71,09108,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.39867605388987,0.093578562257614
171,09,091,09109,75,32,09109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.31749061718023,0.101473704183539
172,09,091,09110,50,32,09110,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.78178402376906,0.114849411900976
173,09,091,09111,243,121,09111,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.80182612727007,0.0757259528578409
174,09,091,09112,290,144,09112,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.80143567116768,0.0480727077756835
175,09,091,09113,27,11,09113,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.16551797814845,0.0341465997133611
176,09,091,09114,62,21,09114,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.14711127269908,0.0607064069804054
177,09,091,09115,128,44,09115,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.1761433655227,0.130188883195356
178,09,091,09116,38,26,09116,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.04537911778318,0.0413364100912368
179,09,091,09117,43,16,09117,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.64373400575833,0.0682465271177376
180,09,091,09118,28,16,09118,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.63693728646829,0.0888517977815556
181,09,091,09119,77,49,09119,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.73590750854094,0.14657755394278
182,09,091,09120,254,103,09120,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.5113998234689,0.134895405519396
183,09,091,09121,37,15,09121,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.20938725430575,0.0441598577793496
184,09,092,09201,273,157,09201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.53425435481448,0.122417551705083
185,09,092,09202,79,32,09202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.78264106950532,0.133979146196829
186,09,092,09203,50,26,09203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.19367015387301,0.171022378850182
187,09,092,09204,10,6,09204,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.75540017038254,0.0512047615039099
188,09,092,09205,25,15,09205,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.64471829822548,0.4055298988106
189,09,092,09206,24,17,09206,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.68775006471156,0.0869594916040224
190,09,092,09207,17,5,09207,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.295826140729,0.114304337342617
191,09,092,09208,59,36,09208,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.3790638239312,0.0476008734004063
192,09,092,09209,26,12,09209,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.12797269540859,0.0271205916529213
193,09,092,09210,64,28,09210,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.92431518884491,0.0922998233181355
194,09,092,09211,105,60,09211,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.00658897236381,0.129915357236981
195,10,101,10101,1087,415,10101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,4.24857454238693,0.180040884613607
196,10,101,10102,71,23,10102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,5.17038050789754,0.0635719586705824
197,10,101,10103,9,1,10103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,6.23477932948639,0.43075872484537
198,10,101,10104,18,10,10104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.62509477046598,0.136901900964862
199,10,101,10105,46,12,10105,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.66497783813004,0.0887743470791014
200,10,101,10106,44,18,10106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.7392406555198,0.13244980702141
201,10,101,10107,47,12,10107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.31508501206881,0.0465256951996277
202,10,101,10108,30,11,10108,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.23321299983547,0.0889620344465914
203,10,101,10109,63,16,10109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,5.75263653851635,0.432282836142435
204,10,102,10201,364,185,10201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.96005917457719,0.051630507107536
205,10,102,10202,239,136,10202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,5.83043256050109,0.190765249851856
206,10,102,10203,72,21,10203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.41197017679246,0.149585928295583
207,10,102,10204,5,2,10204,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.550383551042818,0.00873901702344491
208,10,102,10205,120,41,10205,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.94980791504094,0.134295259070525
209,10,102,10206,6,2,10206,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,0.762841515040691,0.0106033909460544
210,10,102,10207,16,8,10207,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.95781152407134,0.0364594039812965
211,10,102,10208,106,40,10208,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,9.69333023096082,0.372088477302177
212,10,102,10209,45,26,10209,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.73699685822201,0.0477777903773154
213,10,102,10210,22,12,10210,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.27695954502817,0.0173949832869039
214,10,103,10301,599,209,10301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.62339856034831,0.101591901292908
215,10,103,10302,29,9,10302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.05314772226404,0.191747112421705
216,10,103,10303,48,16,10303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.61374444110272,0.155264472155954
217,10,103,10304,24,6,10304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.38340777483079,0.174230535129024
218,10,103,10305,43,18,10305,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.09368072014402,0.13668230674302
219,10,103,10306,6,3,10306,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.7068051257426,0.160078309323345
220,10,103,10307,27,12,10307,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,1.90909138192477,0.0668636843613542
221,10,104,10401,3,1,10401,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,10.9985236403111,0.912654156202352
222,10,104,10402,6,4,10402,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,2.38251972992164,0.136776308522402
223,10,104,10403,24,7,10403,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,6.4646093599317,0.30877765388022
224,10,104,10404,4,1,10404,Arriendo_2014_2019,Subsidio Arriendo 2014-2019,3.97712066568522,0.296288410708872
