Los,Lagos,	Llanquihue,	Puerto,Varas,	63,	16,	10109,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Chiloé,	Castro,	364,	185,	10201,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Chiloé,	Ancud,	239,	136,	10202,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Chiloé,	Chonchi,	72,	21,	10203,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Chiloé,	Curaco,de,Vélez,	5,	2,	10204,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Chiloé,	Dalcahue,	120,	41,	10205,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Chiloé,	Puqueldón,	6,	2,	10206,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Chiloé,	Queilén,	16,	8,	10207,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Chiloé,	Quellón,	106,	40,	10208,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Chiloé,	Quemchi,	45,	26,	10209,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Chiloé,	Quinchao,	22,	12,	10210,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Osorno,	Osorno,	599,	209,	10301,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Osorno,	Puerto,Octay,	29,	9,	10302,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Osorno,	Purranque,	48,	16,	10303,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
Los,Lagos,	Osorno,	Puyehue,	24,	6,	10304,	Arriendo_2014_2019,	Subsidio,Arriendo,2014-2019
