_id,Region,Cod.Comuna,Glosa.Comuna,No en PBS,Mto.en PBS,No sin PBS,Mto.sin PBS,No en APS Internas,Mto.en APS Internas,Total No,Total Mto. m$
132,7.0,7304,MOLINA,444,4563.26800000000002910383045673370361328125,42,442.4270000000000209183781407773494720458984375,30,479.02100000000001500666257925331592559814453125,516,5484.7159999999994397512637078762054443359375
133,7.0,7305,RAUCO,111,1228.281999999999925421434454619884490966796875,4,46.4909999999999996589394868351519107818603515625,4,75.26200000000000045474735088646411895751953125,119,1350.03499999999985448084771633148193359375
134,7.0,7306,ROMERAL,126,1315.5050000000001091393642127513885498046875,14,174.67099999999999226929503493010997772216796875,4,43.15899999999999891997504164464771747589111328125,144,1533.335000000000263753463514149188995361328125
135,7.0,7307,SAGRADA FAMILIA,191,2117.09000000000014551915228366851806640625,7,79.0729999999999932924765744246542453765869140625,8,102.1770000000000067075234255753457546234130859375,206,2298.34000000000014551915228366851806640625
136,7.0,7308,TENO,324,3637.0760000000000218278728425502777099609375,16,204.26699999999999590727384202182292938232421875,25,470.1789999999999736246536485850811004638671875,365,4311.5219999999999345163814723491668701171875
137,7.0,7309,VICHUQUEN,82,902.5309999999999490682967007160186767578125,1,8.3599999999999994315658113919198513031005859375,3,44.50500000000000255795384873636066913604736328125,86,955.395999999999958163243718445301055908203125
138,7.0,7401,LINARES,1292,13275.49899999999979627318680286407470703125,110,1299.071999999999889041646383702754974365234375,115,1803.770999999999958163243718445301055908203125,1517,16378.34200000000055297277867794036865234375
139,7.0,7402,COLBUN,292,3350.4960000000000945874489843845367431640625,13,146.727000000000003865352482534945011138916015625,9,133.794999999999987494447850622236728668212890625,314,3631.01800000000002910383045673370361328125
140,7.0,7403,LONGAVI,466,5499.60499999999956344254314899444580078125,12,179.443000000000012050804798491299152374267578125,16,299.8809999999999718056642450392246246337890625,494,5978.92900000000008731149137020111083984375
141,7.0,7404,PARRAL,678,7775.98199999999997089616954326629638671875,47,808.5579999999999927240423858165740966796875,44,734.1219999999999572537490166723728179931640625,769,9318.66200000000026193447411060333251953125
142,7.0,7405,RETIRO,272,3401.9499999999998181010596454143524169921875,7,225.86799999999999499777914024889469146728515625,17,371.81999999999999317878973670303821563720703125,296,3999.6379999999999199644662439823150634765625
143,7.0,7406,SAN JAVIER,643,6699.3770000000004074536263942718505859375,46,633.7440000000000281943357549607753753662109375,29,511.79199999999997316990629769861698150634765625,718,7844.9130000000004656612873077392578125
144,7.0,7407,VILLA ALEGRE,198,2029.00199999999995270627550780773162841796875,7,71.9129999999999967030817060731351375579833984375,13,184.451999999999998181010596454143524169921875,218,2285.367000000000189174897968769073486328125
145,7.0,7408,YERBAS BUENAS,200,2295.2669999999998253770172595977783203125,12,154.532999999999987039700499735772609710693359375,8,181.878999999999990677679306827485561370849609375,220,2631.67899999999963256414048373699188232421875
